edad,ingreso,frecuencia_compra,num_compras,monto_gastado,antiguedad_cliente,canal_compra,respondio_campana
34,42000,5,18,980,24,online,1
52,95000,12,48,4800,84,tienda,1
28,31000,2,8,320,12,online,0
45,67000,8,32,2100,60,tienda,1
38,54000,6,22,1350,36,online,1
61,82000,10,42,3600,96,tienda,1
23,27000,1,5,180,6,online,0
47,71000,9,36,2700,72,tienda,1
33,39000,4,15,750,30,online,0
55,89000,11,45,4100,90,tienda,1
29,33000,3,10,420,18,online,0
41,62000,7,28,1800,48,tienda,1
36,48000,5,20,1050,30,online,1
58,98000,13,52,5200,108,tienda,1
25,25000,1,4,140,8,online,0
43,68000,8,34,2300,66,tienda,1
31,36000,3,11,460,20,online,0
49,76000,10,40,3100,78,tienda,1
27,29000,2,7,260,14,online,0
53,91000,12,50,4500,96,tienda,1
37,51000,6,24,1250,42,online,1
62,105000,14,58,6000,120,tienda,1
24,26000,1,4,160,6,online,0
44,70000,9,38,2800,72,tienda,1
32,38000,4,14,680,28,online,0
50,80000,11,46,3800,84,tienda,1
26,28000,2,6,220,10,online,0
46,73000,9,37,2900,75,tienda,1
35,46000,5,19,920,32,online,1
57,96000,13,54,5400,102,tienda,1
30,34000,3,10,400,16,online,0
42,64000,7,29,1900,50,tienda,1
39,55000,6,23,1200,38,online,1
60,100000,14,56,5600,114,tienda,1
22,24000,1,3,120,5,online,0
48,75000,10,41,3200,80,tienda,1
28,32000,2,8,300,15,online,0
54,93000,12,51,4700,100,tienda,1
36,49000,5,20,1000,33,online,1
59,99000,13,55,5500,110,tienda,1
33,40000,4,16,720,26,online,0
43,66000,8,33,2200,62,tienda,1
27,30000,2,7,240,12,online,0
51,84000,11,47,3900,88,tienda,1
34,44000,5,18,860,28,online,1
56,94000,12,49,4600,98,tienda,1
25,26000,1,4,150,7,online,0
45,69000,8,35,2500,68,tienda,1
38,52000,6,22,1150,34,online,1
63,108000,15,60,6500,126,tienda,1
29,33000,3,10,380,17,online,0
40,60000,7,27,1700,46,tienda,1
37,50000,5,19,980,31,online,1
58,97000,13,53,5300,104,tienda,1
24,25000,1,3,130,5,online,0
47,72000,9,38,2850,74,tienda,1
31,35000,3,11,440,19,online,0
52,87000,11,46,4000,86,tienda,1
35,47000,5,19,950,30,online,1
61,103000,14,57,5700,116,tienda,1
26,28000,1,5,190,8,online,0
44,71000,9,37,2750,71,tienda,1
32,37000,3,12,500,22,online,0
49,77000,10,42,3300,82,tienda,1
36,48000,6,21,1100,35,online,1
57,95000,12,50,4900,100,tienda,1
23,24000,1,3,110,4,online,0
46,74000,9,39,3000,77,tienda,1
34,43000,4,16,780,27,online,0
55,92000,12,48,4400,94,tienda,1
38,53000,6,23,1300,37,online,1
60,101000,14,56,5800,115,tienda,1
28,31000,2,8,280,13,online,0
41,63000,7,30,1950,52,tienda,1
33,41000,4,15,700,25,online,0
53,90000,11,46,3700,90,tienda,1
39,56000,6,24,1400,40,online,1
62,106000,14,59,6200,122,tienda,1
25,27000,1,4,170,6,online,0
48,76000,10,42,3400,82,tienda,1
30,34000,2,9,340,15,online,0
54,92000,12,51,4800,102,tienda,1
37,51000,5,20,1020,32,online,1
59,100000,13,55,5600,112,tienda,1
26,29000,2,6,230,9,online,0
43,67000,8,34,2400,65,tienda,1
35,46000,5,18,890,29,online,1
57,96000,12,50,5000,101,tienda,1
24,25000,1,3,140,5,online,0
50,79000,10,43,3500,85,tienda,1
31,36000,3,11,480,21,online,0
56,94000,12,49,4700,99,tienda,1
40,58000,6,25,1500,44,online,1
64,110000,15,62,7000,130,tienda,1
27,30000,2,7,250,11,online,0
45,70000,8,36,2600,70,tienda,1
36,49000,5,20,1030,33,online,1
58,98000,13,54,5400,106,tienda,1
29,32000,3,9,360,16,online,0
42,65000,8,31,2000,55,tienda,1
